"relevance.w","endog.w","RMSE.BIC.avg","RMSE.AIC.avg","RMSE.HQ.avg","RMSE.FMSC.avg"
0,0,0.258889218973473,0.262534745152466,0.260550335830548,0.256828046774651
0.1,0,0.234324440976329,0.252629078658533,0.244052133927721,0.238099181114312
0.2,0,0.187764277712626,0.220642267243121,0.204735552346382,0.220301848070628
0.3,0,0.155055604261842,0.202471027085494,0.180129575536326,0.202762916979294
0.4,0,0.128504298725148,0.189658960596689,0.161088082865663,0.193004766479424
0.5,0,0.124454279343891,0.190444719522179,0.160495458055176,0.193379050494758
0.6,0,0.124930780654415,0.189289851502123,0.159792504214584,0.183500140424719
0.7,0,0.112679329739713,0.186057243262698,0.153323144638077,0.179630110430943
0.8,0,0.125189138645158,0.194915439118613,0.164735229110229,0.182434590997393
0.9,0,0.106522978031794,0.186506018989672,0.151790361939406,0.177657908812046
1,0,0.129469216747289,0.210515880505338,0.177209972821384,0.176310483622478
1.1,0,0.105988840620782,0.190644062877569,0.154410627890657,0.171962649496535
1.2,0,0.118451948258413,0.208935788220389,0.171608195680064,0.170580930812695
1.3,0,0.123442610638942,0.224823822718319,0.182016457226927,0.163376255020227
0,0.05,0.271583744877719,0.273668376431131,0.272351164126218,0.2652093433664
0.1,0.05,0.257750273068489,0.256895789957947,0.256146243221257,0.256559651917685
0.2,0.05,0.228779826546117,0.242078544051401,0.235084418700839,0.247906392761813
0.3,0.05,0.19430438354119,0.224645371602574,0.210031059143793,0.232087405836044
0.4,0.05,0.163956637852097,0.204574250449935,0.18509081199634,0.212940514256995
0.5,0.05,0.148511807019867,0.199200885206393,0.17503419528551,0.19887647218716
0.6,0.05,0.134331782395773,0.193145439088325,0.165885788867352,0.189672837852466
0.7,0.05,0.132502475567789,0.196788090437855,0.167918301609283,0.191566249739032
0.8,0.05,0.134071558783572,0.202334531066404,0.172641438533711,0.187259231534466
0.9,0.05,0.133446511355787,0.200583928597157,0.171241471775341,0.183805053198178
1,0.05,0.131083372508796,0.208447547757401,0.176086598893224,0.176709821266545
1.1,0.05,0.118394054307065,0.197455022627777,0.163653121265257,0.172097154978417
1.2,0.05,0.112120055243398,0.186172237900011,0.153154734335668,0.163939494067743
1.3,0.05,0.125615243332394,0.206568499759304,0.172247436935271,0.170091764094182
0,0.1,0.285096032901598,0.281345216412771,0.283106384026021,0.266716680560427
0.1,0.1,0.300117145535187,0.278510321122054,0.285706126576309,0.2771056548758
0.2,0.1,0.300333944220913,0.276535492095615,0.285111707665968,0.293304017396729
0.3,0.1,0.270047552060119,0.265616611596619,0.266295315861307,0.287618753831672
0.4,0.1,0.235125229100133,0.2420803286664,0.237263584199177,0.266387135173302
0.5,0.1,0.209179111369654,0.232488888088033,0.220960340225793,0.248846845390117
0.6,0.1,0.184546646676387,0.220185787380096,0.203070725431682,0.232230621450418
0.7,0.1,0.17838248330828,0.222482652129396,0.202076873579625,0.21674542677036
0.8,0.1,0.163118068443014,0.218860530978708,0.19426242206669,0.209337101594373
0.9,0.1,0.152202845410624,0.207597477222948,0.182107575590603,0.195968061209031
1,0.1,0.154134523590098,0.222246897266399,0.193138341732178,0.189834450316817
1.1,0.1,0.143212081107663,0.218305489514961,0.186452491829811,0.184501220244958
1.2,0.1,0.131972909254771,0.202740020421519,0.17174535027382,0.174371946454705
1.3,0.1,0.12928201270795,0.205717181494024,0.172740507476535,0.170790033932916
0,0.15,0.293544101921533,0.280843582606375,0.286186349857102,0.26563824495429
0.1,0.15,0.310380333557506,0.280989013126852,0.290505813764747,0.272551990284066
0.2,0.15,0.351328601651076,0.302606784619898,0.319930757933851,0.30408621909967
0.3,0.15,0.336651792427709,0.29880497506682,0.313039665482891,0.31550051121979
0.4,0.15,0.303613246541383,0.281292983277085,0.289329659238376,0.309386537996227
0.5,0.15,0.267434495610152,0.263577413794148,0.264028885879919,0.289844564458147
0.6,0.15,0.237177357447877,0.248192566788695,0.241684369065543,0.269888349088335
0.7,0.15,0.225362038778026,0.247660997758315,0.237565142780093,0.252435843293687
0.8,0.15,0.196882234820966,0.226428843937527,0.211569447588307,0.238500588420613
0.9,0.15,0.189222181960839,0.228892543260862,0.210330014004382,0.225897209219009
1,0.15,0.172424157983027,0.217055497163782,0.195829595681689,0.214554669749166
1.1,0.15,0.177018711130546,0.234399648075294,0.209702919183081,0.206600881362012
1.2,0.15,0.16526736140164,0.221350103760237,0.19702815438743,0.193831193300299
1.3,0.15,0.165701272495603,0.220217838879125,0.196144847594079,0.186839853137944
0,0.2,0.311031507352156,0.289835700972755,0.297995110548047,0.273168761481651
0.1,0.2,0.301550580845784,0.277802859140338,0.284777539436489,0.268133646296417
0.2,0.2,0.350381521947999,0.298260726618656,0.314803647209638,0.275407546348517
