"relevance.w","endog.w","RMSE.BIC.avg","RMSE.AIC.avg","RMSE.HQ.avg","RMSE.FMSC.avg","RMSE.FMSC.avg.k"
0,0,0.258889218973473,0.262534745152466,0.260550335830548,0.256828046774651,0.258089568990667
0.1,0,0.234324440976329,0.252629078658533,0.244052133927721,0.238099181114312,0.233558797294344
0.2,0,0.187764277712626,0.220642267243121,0.204735552346382,0.220301848070628,0.20038207474214
0.3,0,0.155055604261842,0.202471027085494,0.180129575536326,0.202762916979294,0.174745131098521
0.4,0,0.128504298725148,0.189658960596689,0.161088082865663,0.193004766479424,0.159641674585782
0.5,0,0.124454279343891,0.190444719522179,0.160495458055176,0.193379050494758,0.155440035867181
0.6,0,0.124930780654415,0.189289851502123,0.159792504214584,0.183500140424719,0.147331059487755
0.7,0,0.112679329739713,0.186057243262698,0.153323144638077,0.179630110430943,0.143301996889007
0.8,0,0.125189138645158,0.194915439118613,0.164735229110229,0.182434590997393,0.142307013319978
0.9,0,0.106522978031794,0.186506018989672,0.151790361939406,0.177657908812046,0.13639587643612
1,0,0.129469216747289,0.210515880505338,0.177209972821384,0.176310483622478,0.137728194272256
1.1,0,0.105988840620782,0.190644062877569,0.154410627890657,0.171962649496535,0.133895697875154
1.2,0,0.118451948258413,0.208935788220389,0.171608195680064,0.170580930812695,0.131346202699358
1.3,0,0.123442610638942,0.224823822718319,0.182016457226927,0.163376255020227,0.128067556859671
0,0.05,0.271583744877719,0.273668376431131,0.272351164126218,0.2652093433664,0.268525551992032
0.1,0.05,0.257750273068489,0.256895789957947,0.256146243221257,0.256559651917685,0.244125755588302
0.2,0.05,0.228779826546117,0.242078544051401,0.235084418700839,0.247906392761813,0.217548313765082
0.3,0.05,0.19430438354119,0.224645371602574,0.210031059143793,0.232087405836044,0.196093471352313
0.4,0.05,0.163956637852097,0.204574250449935,0.18509081199634,0.212940514256995,0.175581738786121
